id,symbol,name,genesis_date,market_cap,market_rank,change_one_year,ath,ath_date,atl,atl_date,change_price,atl_market_value,atl_market_value_date,ath_market_value,ath_market_value_date,change_market_value,total_supply,current_price
waves,waves,Waves,,1736434343,80,119.41,43.010000000000,2021-05-04T06:49:41.528Z,0.130878000000,2016-08-02T00:00:00.000Z,0.00,0.00,,0.00,,0.00,100000000,17.370000
basic-attention-token,bat,Basic Attention Token,,1734480937,81,411.48,1.900000000000,2021-11-28T00:23:51.354Z,0.072394000000,2017-07-16T00:00:00.000Z,0.00,0.00,,0.00,,0.00,1500000000,1.160000
curve-dao-token,crv,Curve DAO Token,,1700577718,82,562.56,54.010000000000,2020-08-14T04:53:44.010Z,0.331577000000,2020-11-05T13:09:50.181Z,16188.83,0.00,,0.00,,0.00,1652192756,4.340000
kucoin-shares,kcs,KuCoin Token,,1629730392,83,2555.55,28.830000000000,2021-12-01T15:09:35.541Z,0.342863000000,2019-02-07T00:00:00.000Z,8308.61,0.00,,0.00,,0.00,167073331,21.150000
ecomi,omi,ECOMI,,1620713461,84,19491.72,0.013435720000,2021-03-19T17:20:53.999Z,0.000003370000,2019-11-04T10:52:42.729Z,398586.05,0.00,,0.00,,0.00,750000000000,0.006750
celsius-degree-token,cel,Celsius Network,,1602840115,85,40.32,8.050000000000,2021-06-04T00:04:12.584Z,0.026202680000,2018-12-07T00:00:00.000Z,0.00,0.00,,0.00,,0.00,694963646,3.780000
huobi-token,ht,Huobi Token,,1577225184,86,148.55,39.660000000000,2021-05-12T14:42:21.586Z,0.908620000000,2019-01-30T00:00:00.000Z,4264.86,0.00,,0.00,,0.00,500000000,9.990000
frax,frax,Frax,,1480984044,87,0.00,1.140000000000,2021-02-07T12:55:35.766Z,0.891635000000,2021-12-04T05:33:57.315Z,27.86,0.00,,0.00,,0.00,1485574682,1.000000
convex-finance,cvx,Convex Finance,,1439444244,90,0.00,39.980000000000,2021-11-11T05:01:17.408Z,1.900000000000,2021-07-20T13:17:29.183Z,2004.21,0.00,,0.00,,0.00,78615137,34.320000
celo,celo,Celo,,1439153883,88,135.98,9.820000000000,2021-08-30T14:25:09.929Z,0.800156000000,2020-05-22T04:15:27.736Z,1127.26,0.00,,0.00,,0.00,1000000000,3.920000
chiliz,chz,Chiliz,,1436378667,89,1752.26,0.878633000000,2021-03-13T08:04:21.200Z,0.004108870000,2019-09-28T00:00:00.000Z,21283.81,0.00,,0.00,,0.00,8888888888,0.268780
